FkkoCode,FkkoDescription,collection,disposal,placement,processing,transportation,utilization
22241000000,"Отходы добычи руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)",0,0,0,0,0,0
22241100000,Отходы обогащения руд серебряных и золотосодержащих,0,0,0,0,0,0
22241101395,Отходы (хвосты) цианирования руд серебряных и золотосодержащих,0,0,0,0,0,0
22241102205,Отходы (хвосты) цианирования руд серебряных и золотосодержащих обезвоженные,0,0,0,0,0,0
22241108395,Отходы (хвосты) флотации руд серебряных и золотосодержащих,0,0,0,0,0,0
22241111205,Отходы (хвосты) флотации руд золотосодержащих,0,0,0,0,0,0
22241121205,Отходы кучного выщелачивания руд серебряных и золотосодержащих,0,0,0,0,0,0
22241125205,Отходы (хвосты) сорбционного выщелачивания руд и концентратов золотосодержащих обезвреженные,0,0,0,0,0,0
22241128205,Отходы (хвосты) гравитационного обогащения и сорбционного выщелачивания золотосодержащих руд в смеси,0,0,0,0,0,0
22241131205,Отходы (хвосты) гравитационного обогащения руд драгоценных металлов,0,0,0,0,0,0
22241135205,Отходы (хвосты) магнитной сепарации промпродукта при обогащении руд и песков драгоценных металлов,0,0,0,0,0,0
22241141395,Отходы (осадок) физико-химического обезвреживания технологических растворов кучного выщелачивания руд серебряных и/или золотосодержащих обезвоженные,0,0,0,0,0,0
22241151614,"Ткань фильтровальная из полипропиленовых волокон, отработанная при обезвоживании концентрата руд серебряных и/или золотосодержащих",0,0,0,0,0,0
22241161424,"Пыль газоочистки при дроблении, измельчении и цианировании руд серебряных и золотосодержащих",0,0,0,0,0,0
22241164424,"Пыль газоочистки при дроблении, измельчении и флотации руд серебряных и золотосодержащих",0,0,0,0,0,0
22241181395,"Отходы (осадок) механической очистки дождевых, талых и дренажных вод при добыче руд серебряных и золотосодержащих",0,0,0,0,0,0
22241183394,Отходы (осадок) механической очистки карьерных и подотвальных вод при добыче руд серебряных и/или золотосодержащих,0,0,0,0,0,0
22241185395,Отходы (осадок) реагентной очистки сточных вод цианирования руд серебряных и золотосодержащих,0,0,0,0,0,0
22241200000,Отходы добычи золота из россыпных месторождений,0,0,0,0,0,0
22241211405,Отходы промывки песков золотосодержащих,0,0,0,0,0,0
22241221205,Отходы дражной разработки россыпных месторождений золота,0,0,0,0,0,0
22242000000,"Отходы добычи и обогащения руд редких металлов (циркония, тантала, ниобия и т.п.)",0,0,0,0,0,0
22250000000,Отходы добычи и обогащения свинцово-цинковых руд,0,0,0,0,0,0
22252000000,Отходы обогащения свинцово-цинковых руд,0,0,0,0,0,0
22252211395,Отходы (хвосты) флотации свинцово-цинковых руд,0,0,0,0,0,0
22258000000,Отходы очистки сточных вод при добыче и обогащении свинцово-цинковых руд,0,0,0,0,0,0
22258131395,Отходы (осадок) механической очистки карьерных вод при добыче свинцово-цинковых руд,0,0,0,0,0,0
22260000000,Отходы добычи и обогащения оловянных руд,0,0,0,0,0,0
22265000000,Отходы обогащения оловянных руд,0,0,0,0,0,0
22265111404,Отходы (хвосты) обогащения оловянных руд гравитационным осаждением,0,0,0,0,0,0
22265151403,"Отходы (хвосты) обогащения оловянных руд с повышенным содержанием свинца, цинка и марганца гравитационным осаждением",0,0,0,0,0,0
22270000000,Отходы добычи и обогащения титаномагниевого сырья,0,0,0,0,0,0
22280000000,Отходы добычи и обогащения вольфраммолибденовых руд,0,0,0,0,0,0
22290000000,Отходы добычи и обогащения руд прочих цветных металлов,0,0,0,0,0,0
22291000000,Отходы добычи и обогащения сурьмяно-ртутных руд,0,0,0,0,0,0
